GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
com.syntifi.near:near-java-api,com.syntifi.near.api.model.block,ValidatorProposal,0,3,0,0,0,1,0,1,0,1
com.syntifi.near:near-java-api,com.syntifi.near.api.model.key,Signature,0,20,0,0,0,7,0,4,0,4
com.syntifi.near:near-java-api,com.syntifi.near.api.model.key,PublicKey,0,43,0,2,0,10,0,6,0,5
com.syntifi.near:near-java-api,com.syntifi.near.api.model.key,PrivateKey,0,43,0,2,0,10,0,6,0,5
com.syntifi.near:near-java-api,com.syntifi.near.api.model.key,Wallet,0,3,0,0,0,1,0,1,0,1
com.syntifi.near:near-java-api,com.syntifi.near.api.model.key,KeyType,0,14,0,0,0,2,0,1,0,1
com.syntifi.near:near-java-api,com.syntifi.near.api.model.key,KeySig,0,99,0,0,0,15,0,4,0,4
com.syntifi.near:near-java-api,com.syntifi.near.api.model.accesskey.permission,FullAccessPermission,0,14,0,0,0,2,0,1,0,1
com.syntifi.near:near-java-api,com.syntifi.near.api.model.accesskey.permission,PermissionTypeData,0,75,0,4,0,11,0,5,0,3
com.syntifi.near:near-java-api,com.syntifi.near.api.exception,NoSuchTypeException,0,9,0,0,0,4,0,2,0,2
com.syntifi.near:near-java-api,com.syntifi.near.api.json.resolver,PermissionResolver,0,14,0,0,0,2,0,2,0,2
com.syntifi.near:near-java-api,com.syntifi.near.api.json.deserializer,PermissionDeserializer,0,22,0,0,0,6,0,4,0,4
com.syntifi.near:near-java-api,com.syntifi.near.api.json.deserializer,AbstractAnyOfDeserializer,0,78,0,2,0,18,0,5,0,4
com.syntifi.near:near-java-api,com.syntifi.near.api.model.network,PrevEpochKickout.Reason,0,3,0,0,0,1,0,1,0,1
com.syntifi.near:near-java-api,com.syntifi.near.api.model.network,PrevEpochKickout.Reason.NotEnough,0,3,0,0,0,1,0,1,0,1
com.syntifi.near:near-java-api,com.syntifi.near.api.model.transaction,Proof.Direction,0,34,0,0,0,6,0,2,0,2
com.syntifi.near:near-java-api,com.syntifi.near.api.model.transaction,TransferAction,0,4,0,0,0,1,0,1,0,1
com.syntifi.near:near-java-api,com.syntifi.near.api.model.transaction,CostType,0,264,0,0,0,27,0,1,0,1
com.syntifi.near:near-java-api,com.syntifi.near.api.service.exception,NearServiceException,0,35,0,0,0,6,0,2,0,2
com.syntifi.near:near-java-api,com.syntifi.near.api.service.exception,NearServiceExceptionResolver,0,37,0,0,0,7,0,3,0,3
com.syntifi.near:near-java-api,com.syntifi.near.api.model.identifier,Finality,0,37,0,0,0,6,0,3,0,3
com.syntifi.near:near-java-api,com.syntifi.near.api.json,JsonHelper,17,80,3,7,2,18,5,6,2,4
com.syntifi.near:near-java-api,com.syntifi.near.api.model.protocol,ShardLayout.V0,0,3,0,0,0,1,0,1,0,1
com.syntifi.near:near-java-api,com.syntifi.near.api.model.protocol,SimpleNightShadeShardLayout.V1,0,3,0,0,0,1,0,1,0,1
com.syntifi.near:near-java-api,com.syntifi.near.api.model.common,EncodedHash,5,4,0,0,2,1,1,1,1,1
com.syntifi.near:near-java-api,com.syntifi.near.api.service,NearService,0,42,0,0,0,6,0,1,0,1
com.syntifi.near:near-java-api,com.syntifi.near.api.service,TransactionService,3,123,0,0,1,37,1,5,1,5
com.syntifi.near:near-java-api,com.syntifi.near.api.service,NearObjectMapper,0,17,0,0,0,6,0,1,0,1
com.syntifi.near:near-java-api,com.syntifi.near.api.service,WalletService,3,21,0,0,1,5,1,2,1,2
